timestamp,layer_id,mode,anomaly_count,threshold_used
2026-09-14T20:03:07.657289,0,quantile,6,20.569669723510742
2026-09-14T20:03:07.760160,1,quantile,6,23.303142547607422
2026-09-14T20:03:07.886616,2,quantile,6,22.74384307861328
2026-09-14T20:03:07.956746,3,quantile,6,22.0228271484375
2026-09-14T20:03:08.072345,4,quantile,6,22.609628677368164
2026-09-14T20:03:08.173195,5,quantile,6,22.398826599121094
2026-09-14T20:03:08.270385,6,quantile,6,21.93459701538086
2026-09-14T20:03:08.340418,7,quantile,6,22.969982147216797
2026-09-14T20:03:08.409945,8,quantile,6,24.535675048828125
2026-09-14T20:03:08.491418,9,quantile,6,26.595003128051758
2026-09-14T20:03:08.571746,10,quantile,6,28.938095092773438
2026-09-14T20:03:08.644182,11,quantile,6,16.964778900146484
